State,1960,1970,1980,1990,2000,2010,2020
AL,3266740,3444165,3893888,4040587,4447100,4779736,5024279
AZ,1302161,1770900,2718215,3665228,5130632,6392017,7151502
AR,1786272,1923295,2286435,2350725,2673400,2915918,3011524
CA,15717204,19953134,23667902,29760021,33871648,37253956,39538223
CO,1753947,2207259,2889964,3294394,4301261,5029196,5773714
CT,2535234,3031709,3107576,3287116,3405565,3574097,3608298
DE,446292,548104,594338,666168,7836,897934,989948
DC,763956,75651,638333,6069,572059,601723,689545
FL,4951560,6789443,9746324,12937926,15982378,18801310,21538187
GA,3943116,4589575,5463105,6478216,8186453,9687653,10711908
ID,667191,712567,943935,1006749,1293953,1567582,1839106
IL,10081158,11113976,11426518,11430602,12419293,12830632,12812508
IN,4662498,5193669,5490224,5544159,6080485,6483802,6785528
IA,2757537,2824376,2913808,2776755,2926324,3046355,3190369
KS,2178611,2246578,2363679,2477574,2688418,2853118,2937880
KY,3038156,3218706,3660777,3685296,4041769,4339367,4505836
LA,3257022,3641306,4205900,4219973,4468976,4533372,4657757
ME,969265,992048,1124660,1227928,1274923,1328361,1362359
MD,3100689,3922399,4216975,4781468,5296486,5773552,6177224
MA,5148578,5689170,5737037,6016425,6349097,6547629,7029917
MI,7823194,8875083,9262078,9295297,9938444,9883640,10077331
MN,3413864,3804971,4075970,4375099,4919479,5303925,5706494
MS,2178141,2216912,2520638,2573216,2844658,2967297,2961279
MO,4319813,4676501,4916686,5117073,5595211,5988927,6154913
MT,674767,694409,78669,799065,902195,989415,1084225
NE,1411330,1483493,1569825,1578385,1711263,1826341,1961504
NV,285278,488738,800493,1201833,1998257,2700551,3104614
NH,606921,737681,92061,1109252,1235786,1316470,1377529
NJ,6066782,7168164,7364823,7730188,8414350,8791894,9288994
NM,951023,1016000,1302894,1515069,1819046,2059179,2117522
NY,16782304,18236967,17558072,17990455,18976457,19378102,20201249
NC,4556155,5082059,5881766,6628637,8049313,9535483,10439388
ND,632446,617761,652717,6388,6422,672591,779094
OH,9706397,10652017,10797630,10847115,11353140,11536504,11799448
OK,2328284,2559229,3025290,3145585,3450654,3751351,3959353
OR,1768687,2091385,2633105,2842321,3421399,3831074,4237256
PA,11319366,11793909,11863895,11881643,12281054,12702379,13002700
RI,859488,946725,947154,1003464,1048319,1052567,1097379
SC,2382594,2590516,3121820,3486703,4012012,4625364,5118425
SD,680514,665507,690768,696004,754844,81418,886667
TN,3567089,3923687,4591120,4877185,5689283,6346105,6910840
TX,9579677,11196730,14229191,16986510,20851820,25145561,29145505
UT,890627,1059273,1461037,1722850,2233169,2763885,3271616
VT,389881,44433,511456,562758,608827,625741,643077
VA,3966949,4648494,5346818,6187358,7078515,8001024,8631393
WA,2853214,3409169,4132156,4866692,5894121,6724540,7705281
WV,1860421,1744237,1949644,1793477,1808344,1852994,1793716
WI,3951777,4417731,4705767,4891769,5363675,5686986,5893718
WY,330066,332416,469557,453588,493782,563626,576851
USA,179323175,203211926,226545805,248709873,281421906,308745538,331449281
